sample	First_attempt_Plate	First_attempt_Plate.numeric
First_attempt_Plate1_DNApositive	First_attempt_Plate1	1
First_attempt_Plate1_PCRpositive	First_attempt_Plate1	1
First_attempt_Plate1_neg1	First_attempt_Plate1	1
First_attempt_Plate1_neg2	First_attempt_Plate1	1
A22T141.3_6	First_attempt_Plate2	2
A22T141.3_7	First_attempt_Plate2	2
A22T141.3_8	First_attempt_Plate2	2
A22T141.3_9	First_attempt_Plate2	2
A22T141.3_10	First_attempt_Plate2	2
A22T141.3_11	First_attempt_Plate2	2
A22T141.3_12	First_attempt_Plate2	2
A22T141.3_13	First_attempt_Plate2	2
A22T141.3_14	First_attempt_Plate2	2
A22T141.3_15	First_attempt_Plate2	2
A22T141.4_1	First_attempt_Plate2	2
A22T141.4_2	First_attempt_Plate2	2
A22T141.4_3	First_attempt_Plate2	2
A22T141.4_4	First_attempt_Plate2	2
A22T141.4_5	First_attempt_Plate2	2
A22T141.4_6	First_attempt_Plate2	2
A22T141.4_7	First_attempt_Plate2	2
A22T141.4_8	First_attempt_Plate2	2
A22T141.4_9	First_attempt_Plate2	2
A22T141.4_10	First_attempt_Plate2	2
A22T141.4_11	First_attempt_Plate2	2
A22T141.4_12	First_attempt_Plate2	2
A22T141.4_13	First_attempt_Plate2	2
A22T141.4_14	First_attempt_Plate2	2
A22T141.4_15	First_attempt_Plate2	2
A22T141.4_16	First_attempt_Plate2	2
A22T141.4_17	First_attempt_Plate2	2
A22T141.4_18	First_attempt_Plate2	2
A22T141.4_19	First_attempt_Plate2	2
A22T141.4_20	First_attempt_Plate2	2
A22T141.4_21	First_attempt_Plate2	2
A22T141.4_22	First_attempt_Plate2	2
A22T141.4_23	First_attempt_Plate2	2
A22T141.4_24	First_attempt_Plate2	2
A22T141.4_25	First_attempt_Plate2	2
A22T141.4_26	First_attempt_Plate2	2
A22T141.4_27	First_attempt_Plate2	2
A22T141.4_28	First_attempt_Plate2	2
A22T141.5_1	First_attempt_Plate2	2
A22T141.5_2	First_attempt_Plate2	2
A22T141.5_3	First_attempt_Plate2	2
A22T141.5_4	First_attempt_Plate2	2
A22T141.5_5	First_attempt_Plate2	2
A22T141.5_6	First_attempt_Plate2	2
A22T141.5_7	First_attempt_Plate2	2
A22T141.5_8	First_attempt_Plate2	2
A22T141.5_9	First_attempt_Plate2	2
A22T141.5_10	First_attempt_Plate2	2
A22T141.5_11	First_attempt_Plate2	2
A22T141.5_12	First_attempt_Plate2	2
A22T141.5_13	First_attempt_Plate2	2
A22T141.5_14	First_attempt_Plate2	2
A22T141.5_15	First_attempt_Plate2	2
A22T141.5_16	First_attempt_Plate2	2
A22T141.5_17	First_attempt_Plate2	2
A22T141.5_18	First_attempt_Plate2	2
A22T141.5_19	First_attempt_Plate2	2
A22T141.6_1	First_attempt_Plate2	2
A22T141.6_2	First_attempt_Plate2	2
A22T141.6_3	First_attempt_Plate2	2
A22T141.6_4	First_attempt_Plate2	2
A22T141.6_5	First_attempt_Plate2	2
A22T141.6_6	First_attempt_Plate2	2
A22T141.6_7	First_attempt_Plate2	2
A22T141.6_8	First_attempt_Plate2	2
A22T141.6_9	First_attempt_Plate2	2
A22T141.6_10	First_attempt_Plate2	2
A22T141.6_11	First_attempt_Plate2	2
A22T141.6_12	First_attempt_Plate2	2
A22T141.6_13	First_attempt_Plate2	2
A22T141.6_14	First_attempt_Plate2	2
A22T141.6_15	First_attempt_Plate2	2
A22T141.7_1	First_attempt_Plate2	2
A22T141.7_2	First_attempt_Plate2	2
A22T141.7_3	First_attempt_Plate2	2
A22T141.7_4	First_attempt_Plate2	2
A22T141.7_5	First_attempt_Plate2	2
A22T141.7_6	First_attempt_Plate2	2
A22T141.7_7	First_attempt_Plate2	2
A22T141.7_8	First_attempt_Plate2	2
A22T141.7_9	First_attempt_Plate2	2
A22T141.7_10	First_attempt_Plate2	2
A22T141.7_11	First_attempt_Plate2	2
A22T141.7_12	First_attempt_Plate2	2
A22T136.1_1	First_attempt_Plate2	2
A22T136.1_2	First_attempt_Plate2	2
A22T136.1_3	First_attempt_Plate2	2
A22T136.1_4	First_attempt_Plate2	2
A22T136.1_5	First_attempt_Plate2	2
A22T136.1_6	First_attempt_Plate2	2
A22T136.2_7	First_attempt_Plate2	2
A22T136.2_8	First_attempt_Plate2	2
First_attempt_Plate2_DNApositive	First_attempt_Plate2	2
First_attempt_Plate2_PCRpositive	First_attempt_Plate2	2
First_attempt_Plate2_neg1	First_attempt_Plate2	2
First_attempt_Plate2_neg2	First_attempt_Plate2	2
First_attempt_Plate3_DNApositive	First_attempt_Plate3	3
First_attempt_Plate3_PCRpositive	First_attempt_Plate3	3
A22T136.1_9	First_attempt_Plate3	3
A22T136.1_10	First_attempt_Plate3	3
A22T136.1_11	First_attempt_Plate3	3
A22T125.1_4	First_attempt_Plate3	3
A4T165.3_1	First_attempt_Plate3	3
A4T165.3_2	First_attempt_Plate3	3
A4T165.3_3	First_attempt_Plate3	3
A4T165.3_4	First_attempt_Plate3	3
A4T165.3_5	First_attempt_Plate3	3
A4T165.3_6	First_attempt_Plate3	3
A4T165.3_7	First_attempt_Plate3	3
A4T165.3_8	First_attempt_Plate3	3
A4T165.3_9	First_attempt_Plate3	3
A4T165.3_10	First_attempt_Plate3	3
A4T165.3_11	First_attempt_Plate3	3
A4T165.3_12	First_attempt_Plate3	3
A4T165.3_13	First_attempt_Plate3	3
A4T165.3_14	First_attempt_Plate3	3
A4T165.3_15	First_attempt_Plate3	3
A4T165.3_16	First_attempt_Plate3	3
A4T165.3_17	First_attempt_Plate3	3
A4T165.3_18	First_attempt_Plate3	3
A4T165.3_19	First_attempt_Plate3	3
A4T165.3_20	First_attempt_Plate3	3
A4T165.3_21	First_attempt_Plate3	3
A4T165.3_22	First_attempt_Plate3	3
A4T165.3_23	First_attempt_Plate3	3
A4T165.3_24	First_attempt_Plate3	3
A4T165.3_25	First_attempt_Plate3	3
A4T165.3_26	First_attempt_Plate3	3
A4T165.3_27	First_attempt_Plate3	3
A4T165.3_28	First_attempt_Plate3	3
A4T165.3_29	First_attempt_Plate3	3
A4T165.3_30	First_attempt_Plate3	3
A4T165.3_31	First_attempt_Plate3	3
A4T165.3_32	First_attempt_Plate3	3
A4T165.3_33	First_attempt_Plate3	3
A4T165.3_34	First_attempt_Plate3	3
A4T165.3_35	First_attempt_Plate3	3
A4T165.3_36	First_attempt_Plate3	3
A4T165.3_37	First_attempt_Plate3	3
A4T165.3_38	First_attempt_Plate3	3
A4T165.3_39	First_attempt_Plate3	3
A4T165.3_40	First_attempt_Plate3	3
A4T165.3_41	First_attempt_Plate3	3
First_attempt_Plate3_neg1	First_attempt_Plate3	3
A4T165.3_42	First_attempt_Plate3	3
A4T165.3_43	First_attempt_Plate3	3
A4T165.3_44	First_attempt_Plate3	3
A4T145.1_1	First_attempt_Plate3	3
A4T165.1_2	First_attempt_Plate3	3
A4T165.1_3	First_attempt_Plate3	3
A4T165.1_4	First_attempt_Plate3	3
A4T165.1_5	First_attempt_Plate3	3
A4T165.1_6	First_attempt_Plate3	3
A4T165.1_7	First_attempt_Plate3	3
A4T165.1_8	First_attempt_Plate3	3
A4T165.1_9	First_attempt_Plate3	3
A4T165.1_10	First_attempt_Plate3	3
A4T165.1_11	First_attempt_Plate3	3
A4T165.1_12	First_attempt_Plate3	3
A4T165.1_13	First_attempt_Plate3	3
A4T165.1_14	First_attempt_Plate3	3
A4T165.1_15	First_attempt_Plate3	3
A4T165.1_16	First_attempt_Plate3	3
A4T165.1_17	First_attempt_Plate3	3
A4T165.1_18	First_attempt_Plate3	3
A4T165.1_19	First_attempt_Plate3	3
A4T165.1_20	First_attempt_Plate3	3
A4T165.1_21	First_attempt_Plate3	3
A4T165.1_22	First_attempt_Plate3	3
A4T165.1_23	First_attempt_Plate3	3
A4T165.1_24	First_attempt_Plate3	3
A4T165.1_25	First_attempt_Plate3	3
A4T165.1_26	First_attempt_Plate3	3
A4T165.1_27	First_attempt_Plate3	3
A4T165.1_28	First_attempt_Plate3	3
A4T165.1_29	First_attempt_Plate3	3
A4T165.1_30	First_attempt_Plate3	3
A4T165.1_31	First_attempt_Plate3	3
A4T165.1_32	First_attempt_Plate3	3
A4T165.1_33	First_attempt_Plate3	3
A4T165.1_34	First_attempt_Plate3	3
A4T165.1_35	First_attempt_Plate3	3
A4T165.1_36	First_attempt_Plate3	3
A4T165.1_37	First_attempt_Plate3	3
A4T165.1_38	First_attempt_Plate3	3
A4T165.1_39	First_attempt_Plate3	3
A4T165.1_40	First_attempt_Plate3	3
A4T165.1_41	First_attempt_Plate3	3
A4T165.1_42	First_attempt_Plate3	3
A4T165.1_43	First_attempt_Plate3	3
A4T165.1_44	First_attempt_Plate3	3
First_attempt_Plate3_neg2	First_attempt_Plate3	3
First_attempt_Plate4_DNApositive	First_attempt_Plate4	4
First_attempt_Plate4_PCRpositive	First_attempt_Plate4	4
A4T165.1_45	First_attempt_Plate4	4
A31T52.1_1	First_attempt_Plate4	4
A31T52.1_2	First_attempt_Plate4	4
A31T52.1_3	First_attempt_Plate4	4
A31T52.1_4	First_attempt_Plate4	4
A31T52.1_5	First_attempt_Plate4	4
A31T52.1_6	First_attempt_Plate4	4
A31T52.1_7	First_attempt_Plate4	4
A31T52.1_8	First_attempt_Plate4	4
A31T52.1_9	First_attempt_Plate4	4
A31T52.1_10	First_attempt_Plate4	4
A31T52.1_11	First_attempt_Plate4	4
A31T52.1_12	First_attempt_Plate4	4
A31T52.1_13	First_attempt_Plate4	4
A31T52.1_14	First_attempt_Plate4	4
A31T52.1_15	First_attempt_Plate4	4
A31T52.1_16	First_attempt_Plate4	4
A31T52.1_17	First_attempt_Plate4	4
A31T52.1_18	First_attempt_Plate4	4
A31T52.1_19	First_attempt_Plate4	4
A31T52.1_20	First_attempt_Plate4	4
A31T52.1_21	First_attempt_Plate4	4
A31T52.1_22	First_attempt_Plate4	4
A31T52.1_23	First_attempt_Plate4	4
A31T52.1_24	First_attempt_Plate4	4
A31T52.1_25	First_attempt_Plate4	4
A31T52.1_26	First_attempt_Plate4	4
A31T52.1_27	First_attempt_Plate4	4
A31T52.1_28	First_attempt_Plate4	4
A31T52.1_29	First_attempt_Plate4	4
A31T52.1_30	First_attempt_Plate4	4
A31T52.1_31	First_attempt_Plate4	4
A31T52.1_32	First_attempt_Plate4	4
A31T52.1_33	First_attempt_Plate4	4
A31T52.1_34	First_attempt_Plate4	4
A31T52.1_35	First_attempt_Plate4	4
A31T52.1_36	First_attempt_Plate4	4
A31T52.1_37	First_attempt_Plate4	4
A31T52.1_38	First_attempt_Plate4	4
A31T52.1_39	First_attempt_Plate4	4
A31T52.1_40	First_attempt_Plate4	4
A31T52.1_41	First_attempt_Plate4	4
A31T52.1_42	First_attempt_Plate4	4
A31T52.1_43	First_attempt_Plate4	4
A31T52.1_44	First_attempt_Plate4	4
First_attempt_Plate4_neg1	First_attempt_Plate4	4
A31T52.1_45	First_attempt_Plate4	4
A31T52.1_46	First_attempt_Plate4	4
A31T52.1_47	First_attempt_Plate4	4
A31T52.1_48	First_attempt_Plate4	4
A31T52.1_49	First_attempt_Plate4	4
A31T52.1_50	First_attempt_Plate4	4
A31T52.1_51	First_attempt_Plate4	4
A31T52.1_52	First_attempt_Plate4	4
A31T52.1_53	First_attempt_Plate4	4
A31T52.1_54	First_attempt_Plate4	4
A31T52.1_55	First_attempt_Plate4	4
A31T52.1_56	First_attempt_Plate4	4
A31T52.1_57	First_attempt_Plate4	4
A31T52.1_58	First_attempt_Plate4	4
A31T52.1_59	First_attempt_Plate4	4
A31T52.1_60	First_attempt_Plate4	4
A31T52.1_61	First_attempt_Plate4	4
A31T52.1_62	First_attempt_Plate4	4
A31T52.1_63	First_attempt_Plate4	4
A31T52.1_64	First_attempt_Plate4	4
A31T52.1_65	First_attempt_Plate4	4
A31T52.1_66	First_attempt_Plate4	4
A31T52.1_67	First_attempt_Plate4	4
A31T52.1_68	First_attempt_Plate4	4
A31T52.1_69	First_attempt_Plate4	4
A31T52.1_70	First_attempt_Plate4	4
A31T52.1_71	First_attempt_Plate4	4
A31T52.1_72	First_attempt_Plate4	4
A31T52.1_73	First_attempt_Plate4	4
A31T52.1_74	First_attempt_Plate4	4
A31T52.1_75	First_attempt_Plate4	4
A31T52.1_76	First_attempt_Plate4	4
A31T52.1_77	First_attempt_Plate4	4
A31T52.1_78	First_attempt_Plate4	4
A31T52.1_79	First_attempt_Plate4	4
A31T52.1_80	First_attempt_Plate4	4
A31T52.1_81	First_attempt_Plate4	4
A31T52.1_82	First_attempt_Plate4	4
A31T52.1_83	First_attempt_Plate4	4
A31T52.1_84	First_attempt_Plate4	4
A31T52.1_85	First_attempt_Plate4	4
A31T52.1_86	First_attempt_Plate4	4
A31T52.1_87	First_attempt_Plate4	4
A31T52.1_88	First_attempt_Plate4	4
A31T52.1_89	First_attempt_Plate4	4
A31T52.1_90	First_attempt_Plate4	4
A31T52.1_91	First_attempt_Plate4	4
First_attempt_Plate4_neg2	First_attempt_Plate4	4
First_attempt_Plate5_DNApositive	First_attempt_Plate5	5
First_attempt_Plate5_PCRpositive	First_attempt_Plate5	5
A31T52.1_92	First_attempt_Plate5	5
A31T52.1_117	First_attempt_Plate5	5
A31T52.1_94	First_attempt_Plate5	5
A31T52.1_95	First_attempt_Plate5	5
A31T52.1_96	First_attempt_Plate5	5
A31T52.1_97	First_attempt_Plate5	5
A31T52.1_98	First_attempt_Plate5	5
A31T52.1_99	First_attempt_Plate5	5
A31T52.1_100	First_attempt_Plate5	5
A31T52.1_101	First_attempt_Plate5	5
A31T52.1_102	First_attempt_Plate5	5
A31T52.1_103	First_attempt_Plate5	5
A31T52.1_104	First_attempt_Plate5	5
A31T52.1_105	First_attempt_Plate5	5
A31T52.1_106	First_attempt_Plate5	5
A31T52.1_107	First_attempt_Plate5	5
A31T52.1_108	First_attempt_Plate5	5
A31T52.1_109	First_attempt_Plate5	5
A31T52.1_110	First_attempt_Plate5	5
A31T52.1_111	First_attempt_Plate5	5
A31T52.1_112	First_attempt_Plate5	5
A31T52.1_113	First_attempt_Plate5	5
A31T52.1_114	First_attempt_Plate5	5
A31T52.1_115	First_attempt_Plate5	5
A31T186.2_1	First_attempt_Plate5	5
A31T186.2_2	First_attempt_Plate5	5
A31T186.2_3	First_attempt_Plate5	5
A31T186.2_4	First_attempt_Plate5	5
A31T186.2_5	First_attempt_Plate5	5
A31T186.2_6	First_attempt_Plate5	5
A31T186.2_7	First_attempt_Plate5	5
A31T186.2_8	First_attempt_Plate5	5
A31T186.2_9	First_attempt_Plate5	5
A31T186.2_10	First_attempt_Plate5	5
A31T186.2_11	First_attempt_Plate5	5
A31T186.2_12	First_attempt_Plate5	5
A31T186.2_13	First_attempt_Plate5	5
First_attempt_Plate5_neg1	First_attempt_Plate5	5
First_attempt_Plate5_neg2	First_attempt_Plate5	5
A31T186.2_14	First_attempt_Plate5	5
A31T186.2_15	First_attempt_Plate5	5
A31T186.2_16	First_attempt_Plate5	5
A31T186.2_17	First_attempt_Plate5	5
A31T186.2_18	First_attempt_Plate5	5
A31T186.2_19	First_attempt_Plate5	5
A31T186.2_20	First_attempt_Plate5	5
A31T186.2_21	First_attempt_Plate5	5
A31T186.3_1	First_attempt_Plate5	5
A31T186.3_2	First_attempt_Plate5	5
A31T186.3_3	First_attempt_Plate5	5
A31T186.3_4	First_attempt_Plate5	5
A31T186.3_5	First_attempt_Plate5	5
A31T186.3_6	First_attempt_Plate5	5
A31T186.3_7	First_attempt_Plate5	5
A31T186.3_8	First_attempt_Plate5	5
A31T186.3_9	First_attempt_Plate5	5
A31T186.3_10	First_attempt_Plate5	5
A31T104.1_1	First_attempt_Plate5	5
A31T104.2_2	First_attempt_Plate5	5
A31T186.1_1	First_attempt_Plate5	5
A31T186.1_2	First_attempt_Plate5	5
A31T186.1_3	First_attempt_Plate5	5
A31T186.1_4	First_attempt_Plate5	5
A31T186.1_5	First_attempt_Plate5	5
A31T186.1_6	First_attempt_Plate5	5
A31T186.1_7	First_attempt_Plate5	5
A31T186.1_8	First_attempt_Plate5	5
A31T186.1_9	First_attempt_Plate5	5
A31T186.1_10	First_attempt_Plate5	5
A31T186.1_11	First_attempt_Plate5	5
A31T186.1_12	First_attempt_Plate5	5
A31T186.1_13	First_attempt_Plate5	5
A31T186.1_14	First_attempt_Plate5	5
A31T186.1_15	First_attempt_Plate5	5
A31T186.1_16	First_attempt_Plate5	5
A31T186.1_17	First_attempt_Plate5	5
A31T186.1_18	First_attempt_Plate5	5
A31T186.1_19	First_attempt_Plate5	5
A31T186.1_20	First_attempt_Plate5	5
A31T186.1_21	First_attempt_Plate5	5
A31T186.1_22	First_attempt_Plate5	5
A31T186.1_23	First_attempt_Plate5	5
A31T186.1_24	First_attempt_Plate5	5
A31T186.1_25	First_attempt_Plate5	5
A31T186.1_26	First_attempt_Plate5	5
A31T186.1_27	First_attempt_Plate5	5
A31T186.1_28	First_attempt_Plate5	5
A31T186.1_29	First_attempt_Plate5	5
A31T186.1_30	First_attempt_Plate5	5
A31T186.1_31	First_attempt_Plate5	5
A31T186.1_32	First_attempt_Plate5	5
A31T186.1_33	First_attempt_Plate5	5
A31T186.1_34	First_attempt_Plate5	5
First_attempt_Plate5_neg3	First_attempt_Plate5	5
A22T141.3_16	First_attempt_Plate6	6
A22T141.3_17	First_attempt_Plate6	6
A22T141.3_18	First_attempt_Plate6	6
A22T141.3_19	First_attempt_Plate6	6
A22T136.2_1	First_attempt_Plate6	6
A22T136.2_2	First_attempt_Plate6	6
A22T136.2_3	First_attempt_Plate6	6
First_attempt_Plate6_neg1	First_attempt_Plate6	6
A22T136.1_12	First_attempt_Plate6	6
A22T136.1_13	First_attempt_Plate6	6
A4T165.1_1	First_attempt_Plate6	6
A4T165.1_46	First_attempt_Plate6	6
A31T52.1_116	First_attempt_Plate6	6
A31T52.1_93	First_attempt_Plate6	6
A31T186.1_35	First_attempt_Plate6	6
A31T186.1_36	First_attempt_Plate6	6
A31T186.1_37	First_attempt_Plate6	6
A31T186.1_38	First_attempt_Plate6	6
A31T186.1_39	First_attempt_Plate6	6
A31T186.1_40	First_attempt_Plate6	6
A31T186.1_41	First_attempt_Plate6	6
A31T186.1_42	First_attempt_Plate6	6
A31T186.1_43	First_attempt_Plate6	6
A31T186.1_44	First_attempt_Plate6	6
A31T186.1_45	First_attempt_Plate6	6
A31T186.1_46	First_attempt_Plate6	6
A31T104.3_1	First_attempt_Plate6	6
A31T104.3_2	First_attempt_Plate6	6
A31T104.3_3	First_attempt_Plate6	6
A31T104.3_4	First_attempt_Plate6	6
A31T104.3_5	First_attempt_Plate6	6
A31T104.3_6	First_attempt_Plate6	6
A31T104.3_7	First_attempt_Plate6	6
A31T104.3_8	First_attempt_Plate6	6
A31T104.3_9	First_attempt_Plate6	6
A31T104.3_10	First_attempt_Plate6	6
A31T104.3_11	First_attempt_Plate6	6
A31T104.3_12	First_attempt_Plate6	6
A31T104.3_13	First_attempt_Plate6	6
A31T104.3_14	First_attempt_Plate6	6
A31T104.3_15	First_attempt_Plate6	6
A31T104.3_16	First_attempt_Plate6	6
A31T104.3_17	First_attempt_Plate6	6
A31T104.3_18	First_attempt_Plate6	6
A31T104.3_19	First_attempt_Plate6	6
A31T104.3_20	First_attempt_Plate6	6
A31T104.3_21	First_attempt_Plate6	6
A31T104.3_22	First_attempt_Plate6	6
A31T104.3_23	First_attempt_Plate6	6
A31T104.3_24	First_attempt_Plate6	6
A31T104.3_25	First_attempt_Plate6	6
A31T104.3_26	First_attempt_Plate6	6
A31T104.3_27	First_attempt_Plate6	6
A31T104.3_28	First_attempt_Plate6	6
A31T104.3_29	First_attempt_Plate6	6
A31T104.3_30	First_attempt_Plate6	6
A31T104.3_31	First_attempt_Plate6	6
A31T104.3_32	First_attempt_Plate6	6
A31T104.3_33	First_attempt_Plate6	6
A31T104.3_34	First_attempt_Plate6	6
A31T104.3_35	First_attempt_Plate6	6
A31T104.3_36	First_attempt_Plate6	6
A31T104.3_37	First_attempt_Plate6	6
A31T104.3_38	First_attempt_Plate6	6
A31T104.3_39	First_attempt_Plate6	6
A31T104.3_40	First_attempt_Plate6	6
A31T104.3_41	First_attempt_Plate6	6
A31T104.3_42	First_attempt_Plate6	6
A31T104.3_43	First_attempt_Plate6	6
A31T104.3_44	First_attempt_Plate6	6
A31T104.3_45	First_attempt_Plate6	6
A31T104.3_46	First_attempt_Plate6	6
A31T104.3_47	First_attempt_Plate6	6
A31T104.3_48	First_attempt_Plate6	6
A31T104.3_49	First_attempt_Plate6	6
A31T104.3_50	First_attempt_Plate6	6
A31T104.3_51	First_attempt_Plate6	6
A31T104.3_52	First_attempt_Plate6	6
A31T104.3_53	First_attempt_Plate6	6
A31T104.3_54	First_attempt_Plate6	6
A31T104.3_55	First_attempt_Plate6	6
A31T104.3_56	First_attempt_Plate6	6
A31T104.3_57	First_attempt_Plate6	6
A31T104.3_58	First_attempt_Plate6	6
A31T104.3_59	First_attempt_Plate6	6
A31T104.3_60	First_attempt_Plate6	6
A31T104.3_61	First_attempt_Plate6	6
A31T104.3_62	First_attempt_Plate6	6
A31T104.3_63	First_attempt_Plate6	6
A31T104.3_64	First_attempt_Plate6	6
A31T104.3_65	First_attempt_Plate6	6
A31T104.3_66	First_attempt_Plate6	6
A31T104.3_67	First_attempt_Plate6	6
First_attempt_Plate6_DNApositive	First_attempt_Plate6	6
First_attempt_Plate6_PCRpositive	First_attempt_Plate6	6
First_attempt_Plate6_neg2	First_attempt_Plate6	6
A31T104.3_68	First_attempt_Plate7	7
A31T104.3_69	First_attempt_Plate7	7
A31T104.3_70	First_attempt_Plate7	7
A31T104.3_71	First_attempt_Plate7	7
A31T104.3_72	First_attempt_Plate7	7
A31T104.3_73	First_attempt_Plate7	7
A31T104.3_74	First_attempt_Plate7	7
A31T104.3_75	First_attempt_Plate7	7
A31T104.3_76	First_attempt_Plate7	7
A31T104.3_77	First_attempt_Plate7	7
A31T104.3_78	First_attempt_Plate7	7
A31T104.3_79	First_attempt_Plate7	7
A31T104.3_80	First_attempt_Plate7	7
A31T104.3_81	First_attempt_Plate7	7
A31T104.3_82	First_attempt_Plate7	7
A31T104.3_83	First_attempt_Plate7	7
A31T104.3_84	First_attempt_Plate7	7
A31T104.3_85	First_attempt_Plate7	7
A31T104.3_86	First_attempt_Plate7	7
A31T104.3_87	First_attempt_Plate7	7
A31T104.3_88	First_attempt_Plate7	7
A31T104.3_89	First_attempt_Plate7	7
A31T104.3_90	First_attempt_Plate7	7
A31T104.3_91	First_attempt_Plate7	7
A31T104.3_92	First_attempt_Plate7	7
A31T104.3_93	First_attempt_Plate7	7
A31T104.3_94	First_attempt_Plate7	7
A31T104.3_95	First_attempt_Plate7	7
A31T104.3_96	First_attempt_Plate7	7
A31T104.3_97	First_attempt_Plate7	7
A31T104.3_98	First_attempt_Plate7	7
A31T104.3_99	First_attempt_Plate7	7
A31T104.3_100	First_attempt_Plate7	7
A31T104.3_101	First_attempt_Plate7	7
A31T104.3_102	First_attempt_Plate7	7
A31T104.3_103	First_attempt_Plate7	7
A31T104.3_104	First_attempt_Plate7	7
A31T104.3_105	First_attempt_Plate7	7
A31T104.3_106	First_attempt_Plate7	7
A31T104.3_107	First_attempt_Plate7	7
A31T104.3_108	First_attempt_Plate7	7
A31T104.3_109	First_attempt_Plate7	7
A31T104.3_110	First_attempt_Plate7	7
A31T104.3_111	First_attempt_Plate7	7
A31T104.3_112	First_attempt_Plate7	7
A31T104.3_113	First_attempt_Plate7	7
A31T104.3_114	First_attempt_Plate7	7
First_attempt_Plate7_neg1	First_attempt_Plate7	7
A31T104.3_115	First_attempt_Plate7	7
